draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
105,-19.1208,-16.3267,-14.6042,-16.1133,-11.6867,-5.375,-11.82,-13.9633,-8.155,13.4267,11.49,-8.685
106,-19.3125,-16.48,-14.7417,-16.425,-12.0167,-5.705,-12.1167,-14.2567,-8.4717,13.0633,11.1517,-9.05
107,-19.4833,-16.6217,-14.7708,-16.395,-11.5767,-5.8117,-12.315,-14.4933,-8.6817,12.92,11.2733,-9.0933
108,-19.6333,-16.7467,-14.9958,-16.7167,-11.9033,-6.1333,-12.5517,-14.8,-8.975,12.62,10.96,-9.3633
109,-19.8583,-16.9633,-15.2667,-16.8867,-11.5267,-6.4333,-12.87,-15.1433,-9.3,12.3833,10.8767,-9.35
110,-20.0417,-17.1317,-15.475,-17.0233,-11.0767,-6.715,-13.1533,-15.4233,-9.6133,12.1867,10.5917,-9.6783
111,-20.25,-17.3333,-15.65,-17.025,-11.3567,-7.0183,-13.4,-15.8,-9.9833,11.8667,10.3117,-9.9383
112,-20.4125,-17.475,-15.8208,-16.99,-10.9067,-7.2667,-13.6367,-16.0667,-10.3117,11.5633,9.9983,-10.2217
113,-20.5875,-17.6383,-16.1167,-17.2933,-11.2533,-7.615,-13.8883,-16.26,-10.605,11.2367,9.6383,-10.5917
114,-20.8,-17.7717,-16.3417,-17.6033,-11.5667,-7.95,-14.1567,-16.63,-10.9833,10.9,9.3017,-10.935
115,-21.0,-17.95,-16.425,-17.725,-11.9,-8.265,-14.3333,-16.8933,-11.2583,10.71,9.275,-10.9933
116,-21.25,-18.1767,-16.7042,-18.04,-12.2667,-8.535,-14.57,-17.23,-11.59,10.3433,8.93,-11.3483
117,-21.4208,-18.3,-16.875,-18.315,-12.5133,-8.6933,-14.605,-15.8067,-5.2267,11.05,9.1683,-9.7683
118,-21.5917,-18.4633,-17.0208,-18.665,-12.8367,-8.97,-14.855,-16.07,-5.2583,10.84,9.405,-9.6583
119,-21.8333,-18.6917,-17.3333,-18.88,-13.2167,-9.3533,-15.0933,-16.3033,-5.565,10.6867,9.205,-9.9233
120,-22.075,-18.8717,-17.4292,-18.8467,-12.6567,-9.3833,-15.1567,-16.4767,-5.7567,10.48,9.1367,-10.1
121,-22.2167,-19.035,-17.4583,-18.96,-12.8967,-9.6767,-15.365,-16.7,-6.0067,10.2233,8.815,-10.4917
122,-22.4167,-19.2233,-17.6292,-19.1133,-13.1933,-10.0317,-15.6633,-17.0533,-6.38,9.8867,8.5333,-10.5483
123,-22.5917,-19.3967,-17.8375,-19.2667,-12.8,-7.635,-15.63,-17.1633,-6.5767,9.7567,8.6717,-9.2183
124,-22.8083,-19.5833,-17.9875,-19.2783,-13.1533,-7.995,-15.9683,-17.51,-6.8367,9.68,8.5967,-9.035
125,-22.9833,-19.7267,-18.1667,-19.44,-13.4667,-8.335,-16.2417,-17.78,-7.025,9.43,8.4167,-9.055
126,-23.1625,-19.8817,-18.3125,-19.285,-13.76,-8.61,-16.46,-17.8667,-7.145,9.5533,8.3817,-8.915
127,-23.3333,-20.02,-18.4042,-19.565,-14.0667,-8.7883,-16.5467,-18.0267,-7.335,9.3933,8.1317,-9.235
128,-23.525,-20.2,-18.6667,-19.7133,-14.3233,-9.12,-16.7917,-18.3167,-7.61,9.1967,7.8533,-9.565
129,-23.7375,-20.35,-18.8333,-20.01,-14.7,-9.3817,-17.0783,-18.6233,-7.8583,9.1133,7.755,-9.58
130,-23.8875,-20.4717,-18.9917,-20.3183,-15.0267,-9.7183,-17.365,-18.92,-8.1617,9.04,7.6917,-9.78
131,-24.05,-20.6033,-19.1625,-20.6033,-15.3633,-10.0433,-17.6033,-19.21,-8.485,8.7667,7.4,-10.0783
132,-24.2917,-20.7617,-19.1125,-20.7083,-15.5967,-10.2467,-17.7917,-19.5,-8.755,8.59,7.28,-10.3683
133,-24.5375,-20.9383,-19.0958,-20.7967,-15.1667,-10.415,-18.035,-19.7767,-9.0717,8.3733,7.105,-10.4267
134,-24.7375,-21.095,-19.2042,-20.95,-15.3633,-10.6567,-18.2183,-20.0967,-9.4017,8.06,6.935,-10.6583
135,-24.9417,-21.2817,-19.4542,-21.0917,-14.9767,-8.315,-18.3233,-20.3667,-9.4233,7.81,6.7033,-10.9867
136,-25.1292,-21.445,-19.6208,-21.415,-15.3533,-8.6617,-18.615,-20.7167,-9.7917,7.4233,6.33,-11.3833
137,-25.3417,-21.6317,-19.8042,-21.565,-15.66,-8.92,-18.8817,-20.9833,-10.025,7.2,6.08,-11.7
138,-25.5042,-21.715,-19.7292,-21.675,-15.89,-9.0933,-19.075,-21.2833,-10.2933,7.0467,5.8817,-11.9633
139,-25.7292,-21.9017,-19.7667,-21.6567,-16.17,-9.36,-19.2133,-21.5467,-10.6217,6.7567,5.57,-12.2067
140,-25.9042,-22.0833,-19.8,-21.465,-15.6333,-9.49,-19.2633,-20.1633,-10.5483,6.7067,5.5167,-12.2083
141,-26.1292,-22.2633,-20.0458,-21.4733,-15.9667,-9.7583,-19.4983,-20.3933,-10.4783,7.3267,5.7667,-12.2633
142,-26.2583,-22.4,-20.2042,-21.5933,-15.45,-7.3833,-19.6117,-19.06,-10.4267,7.92,6.28,-12.1317
143,-26.4292,-22.5267,-20.3792,-21.735,-15.6767,-7.53,-19.805,-19.1767,-10.3433,7.7633,6.0433,-12.4083
144,-26.6042,-22.7,-20.5708,-21.8867,-15.3367,-7.7633,-20.0767,-19.4533,-10.7083,7.42,5.695,-12.7117
145,-26.8292,-22.895,-20.75,-22.2067,-15.7133,-8.04,-20.1833,-19.6833,-10.97,7.1233,5.4,-13.01
146,-27.0167,-23.1183,-20.8917,-22.2117,-15.9833,-8.3,-20.4967,-19.9967,-11.2817,6.8233,5.04,-13.3633
147,-27.1958,-23.265,-21.0,-22.5017,-16.14,-8.3733,-20.6233,-20.3067,-11.5833,6.4867,4.7683,-13.655
148,-27.3917,-23.445,-21.1833,-22.6567,-16.4933,-8.7567,-20.91,-20.6233,-11.9483,6.12,4.4067,-13.9983
149,-27.5833,-23.58,-21.3958,-22.6183,-16.7567,-9.0817,-21.1117,-20.9233,-12.24,5.9533,4.1117,-14.2883
150,-27.7292,-23.775,-21.625,-22.9317,-17.09,-9.2333,-21.2483,-21.1767,-12.5083,5.63,3.7467,-14.6417
151,-27.8833,-23.915,-21.7875,-23.0767,-17.47,-9.515,-21.4867,-21.54,-12.895,5.3167,3.43,-14.9933
