draw,portfolio_plain_draw_column_2,portfolio_bonus_draw_column_2,portfolio_para1_draw_column_2,portfolio_para1_bonus_draw_column_2,portfolio_plain_draw_column_5,portfolio_bonus_draw_column_5,portfolio_para1_draw_column_5,portfolio_para1_bonus_draw_column_5,portfolio_plain_draw_column_7,portfolio_bonus_draw_column_7,portfolio_para1_draw_column_7,portfolio_para1_bonus_draw_column_7
5942,-3242.8833,-4205.95,-3960.6267,-4923.6933,-3205.01,-4139.5533,-4039.41,-4973.9533,-3176.91,-4101.905,-4157.41,-5082.405
5943,-3243.57,-4206.7783,-3961.38,-4924.5883,-3205.6633,-4140.43,-4039.7633,-4974.53,-3177.595,-4102.745,-4158.595,-5083.745
5944,-3243.825,-4207.3083,-3961.7017,-4925.185,-3205.9767,-4140.935,-4039.8767,-4974.835,-3177.9567,-4103.3333,-4159.4567,-5084.8333
5945,-3244.4467,-4207.8217,-3962.46,-4925.835,-3206.7067,-4141.8133,-4040.6067,-4975.7133,-3178.6617,-4104.2383,-4160.6617,-5086.2383
5946,-3244.9883,-4208.4217,-3963.1183,-4926.5517,-3207.3633,-4142.6467,-4041.3633,-4976.6467,-3179.2983,-4105.08,-4161.7983,-5087.58
5947,-3245.7467,-4209.055,-3963.9933,-4927.3017,-3208.2533,-4143.65,-4042.4533,-4977.85,-3180.1917,-4106.0883,-4163.1917,-5089.0883
5948,-3246.545,-4209.9617,-3964.8917,-4928.3083,-3208.3267,-4143.6683,-4042.3267,-4977.6683,-3180.8967,-4106.4917,-4162.8967,-5088.4917
5949,-3247.355,-4211.1717,-3965.8317,-4929.6483,-3209.23,-4144.8483,-4043.43,-4979.0483,-3181.68,-4107.56,-4164.18,-5090.06
5950,-3248.035,-4211.9683,-3966.605,-4930.5383,-3209.32,-4145.0983,-4043.72,-4979.4983,-3182.4483,-4108.5683,-4165.4483,-5091.5683
5951,-3248.6733,-4212.715,-3967.3467,-4931.3883,-3210.17,-4146.2433,-4044.87,-4980.9433,-3183.2633,-4109.71,-4166.7633,-5093.21
5952,-3249.17,-4213.1867,-3967.9467,-4931.9633,-3210.6367,-4146.85,-4044.9367,-4981.15,-3183.8467,-4110.5083,-4167.8467,-5094.5083
5953,-3249.8633,-4214.0633,-3968.73,-4932.93,-3211.5367,-4148.105,-4046.2367,-4982.805,-3184.65,-4111.67,-4169.15,-5096.17
5954,-3250.5533,-4214.895,-3969.57,-4933.9117,-3212.25,-4148.8083,-4046.75,-4983.3083,-3185.305,-4112.3717,-4170.305,-5097.3717
5955,-3251.1233,-4215.7817,-3970.2767,-4934.935,-3212.9967,-4149.81,-4047.7967,-4984.61,-3186.0017,-4113.3383,-4171.5017,-5098.8383
5956,-3251.8433,-4216.685,-3971.18,-4936.0217,-3213.83,-4150.9533,-4048.83,-4985.9533,-3186.7483,-4114.3533,-4172.7483,-5100.3533
