draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
145,-27.055,-22.998,-21.2875,-23.177,-16.65,-10.716,-19.337,-16.742,-14.396,-7.422,-5.806,-17.05
146,-27.25,-23.174,-21.395,-23.101,-16.472,-10.964,-19.615,-17.064,-14.707,-7.726,-6.145,-17.42
147,-27.43,-23.34,-21.505,-23.409,-16.684,-11.103,-19.82,-17.384,-15.022,-8.044,-6.444,-17.72
148,-27.6175,-23.516,-21.6775,-23.435,-16.578,-11.41,-20.015,-17.658,-15.357,-8.38,-6.783,-18.049
149,-27.8125,-23.665,-21.9025,-23.544,-16.906,-11.746,-20.255,-17.992,-15.681,-8.592,-7.048,-18.319
150,-27.9825,-23.846,-22.0925,-23.757,-17.206,-11.888,-20.35,-18.2,-15.752,-8.702,-7.268,-18.596
151,-28.1475,-23.98,-22.2575,-23.853,-17.494,-12.071,-20.529,-18.496,-16.077,-8.88,-7.475,-18.849
152,-28.34,-24.153,-22.385,-23.795,-17.342,-12.356,-20.797,-18.832,-16.41,-9.176,-7.772,-19.156
153,-28.53,-24.278,-22.5075,-23.882,-17.61,-12.562,-20.87,-19.05,-16.654,-9.332,-7.988,-19.41
154,-28.715,-24.409,-22.7225,-24.186,-17.91,-12.862,-21.054,-19.306,-16.775,-9.534,-8.214,-19.706
155,-28.9125,-24.564,-22.845,-24.22,-17.314,-13.047,-21.229,-19.522,-17.064,-9.78,-8.474,-19.966
156,-29.125,-24.786,-23.085,-24.43,-17.188,-13.302,-21.487,-19.73,-17.306,-10.014,-8.776,-20.228
157,-29.3025,-24.91,-23.1525,-24.512,-16.948,-13.422,-21.674,-19.97,-17.556,-10.224,-8.987,-20.415
158,-29.525,-25.09,-23.3275,-24.724,-16.834,-13.656,-21.957,-20.326,-17.892,-10.538,-9.298,-20.781
159,-29.6875,-25.229,-23.3875,-24.629,-17.062,-13.806,-22.101,-20.494,-18.158,-10.768,-9.569,-21.041
160,-29.8425,-25.381,-23.5025,-24.732,-16.918,-14.102,-22.333,-20.646,-18.385,-10.948,-9.771,-21.369
161,-30.015,-25.553,-23.5975,-24.816,-16.758,-14.398,-22.59,-20.9,-18.641,-11.22,-10.061,-21.657
162,-30.2275,-25.75,-23.8025,-24.939,-16.596,-14.689,-22.869,-21.162,-18.956,-11.464,-10.297,-21.961
163,-30.3825,-25.855,-23.725,-24.708,-16.358,-14.899,-23.038,-21.308,-19.157,-11.558,-10.426,-21.948
164,-30.51,-25.993,-23.81,-24.917,-16.672,-15.25,-23.345,-21.66,-19.507,-11.836,-10.769,-22.307
165,-30.6725,-26.139,-23.9575,-25.107,-16.892,-15.481,-23.479,-21.906,-19.777,-12.034,-11.012,-22.532
166,-30.8575,-26.331,-24.2575,-25.445,-17.25,-15.807,-23.773,-22.238,-20.077,-12.26,-11.246,-22.842
167,-31.025,-26.464,-24.3475,-25.66,-17.118,-15.997,-23.948,-22.462,-20.123,-12.364,-11.468,-23.11
168,-31.17,-26.619,-24.5275,-25.945,-17.376,-16.297,-24.258,-22.806,-20.411,-12.604,-11.69,-23.373
169,-31.355,-26.781,-24.705,-26.237,-17.604,-16.498,-24.466,-23.024,-20.472,-12.668,-11.647,-23.39
170,-31.57,-26.945,-24.89,-26.349,-17.49,-16.692,-24.601,-23.272,-20.775,-12.952,-11.943,-23.73
171,-31.7475,-27.08,-24.9575,-26.456,-17.768,-16.92,-24.75,-23.496,-20.889,-13.106,-11.965,-23.865
172,-31.945,-27.231,-25.025,-26.467,-18.022,-17.118,-24.902,-23.782,-21.138,-13.376,-12.137,-23.976
173,-32.125,-27.337,-25.0875,-26.44,-17.766,-17.341,-25.162,-23.99,-21.191,-13.574,-12.366,-24.166
174,-32.33,-27.51,-25.1475,-26.456,-18.028,-17.689,-25.456,-24.282,-21.301,-13.718,-12.383,-23.398
175,-32.5075,-27.644,-25.1425,-26.546,-18.266,-17.968,-25.727,-24.588,-21.592,-13.906,-12.444,-23.5
176,-32.7075,-27.785,-25.3075,-26.832,-18.564,-18.242,-25.963,-24.896,-21.889,-14.114,-12.559,-23.461
177,-32.9125,-27.942,-25.515,-27.035,-18.82,-18.486,-26.261,-25.238,-22.226,-14.316,-12.825,-23.785
178,-33.09,-28.093,-25.67,-27.047,-18.694,-18.766,-26.531,-25.508,-22.372,-14.512,-13.102,-24.077
179,-33.3075,-28.273,-25.9275,-27.259,-19.056,-19.124,-26.77,-25.828,-22.661,-14.718,-13.351,-24.299
180,-33.485,-28.45,-26.1275,-27.39,-18.974,-19.339,-26.985,-26.168,-23.024,-15.008,-13.654,-24.591
181,-33.665,-28.598,-26.235,-27.502,-19.254,-19.589,-27.198,-26.494,-23.302,-15.12,-13.812,-24.859
182,-33.7775,-28.701,-26.2625,-27.389,-18.54,-19.707,-27.243,-26.648,-23.512,-15.268,-13.939,-24.84
183,-33.995,-28.905,-26.51,-27.644,-18.528,-20.071,-27.559,-27.018,-23.889,-15.628,-14.263,-25.172
