draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
3344,-626.135,-535.073,-512.275,-515.21,-483.306,-481.09,-510.244,-551.892,-458.318,-488.336,-509.791,-474.893,-936.779,-1025.875,-1032.474,-939.946,-974.8,-1038.344,-1094.092,-950.318,-342.414,-338.464,-310.244,-330.44
3345,-626.32,-535.238,-512.4275,-515.505,-483.612,-481.389,-510.491,-552.152,-458.598,-488.62,-510.083,-475.242,-937.064,-1026.2325,-1032.837,-940.452,-975.369,-1039.091,-1094.852,-951.098,-342.502,-338.6,-310.296,-330.436
3346,-626.46,-535.394,-512.5125,-515.705,-483.838,-481.494,-510.571,-552.356,-458.882,-488.87,-510.291,-475.51,-937.292,-1026.4875,-1033.153,-940.638,-975.054,-1038.771,-1095.556,-951.882,-342.526,-338.732,-310.484,-330.576
3347,-626.665,-535.564,-512.7425,-515.94,-484.22,-481.85,-510.871,-552.672,-459.18,-489.166,-510.596,-475.816,-937.602,-1026.8275,-1033.664,-941.46,-975.91,-1039.571,-1096.372,-952.68,-342.632,-338.818,-310.6,-330.652
3348,-626.87,-535.794,-513.0225,-516.284,-484.592,-482.193,-511.128,-552.866,-459.425,-489.306,-510.298,-474.901,-937.932,-1027.3675,-1034.284,-942.152,-976.753,-1040.328,-1097.066,-953.425,-342.72,-338.958,-310.644,-330.736
3349,-627.085,-535.985,-513.1975,-516.592,-484.956,-482.505,-511.402,-553.208,-459.765,-489.62,-510.634,-475.198,-938.255,-1027.6925,-1034.708,-942.896,-977.565,-1041.102,-1097.908,-954.265,-342.798,-339.082,-310.74,-330.764
3350,-627.2825,-536.137,-513.3125,-516.794,-484.744,-481.2,-511.472,-553.438,-460.055,-489.852,-510.868,-475.346,-938.551,-1027.9875,-1035.026,-942.644,-976.53,-1039.872,-1098.638,-955.055,-342.862,-339.232,-310.812,-330.76
3351,-627.4975,-536.342,-513.595,-517.143,-485.076,-481.505,-511.788,-553.752,-460.322,-490.044,-511.025,-475.532,-938.906,-1028.435,-1035.699,-943.176,-977.105,-1040.688,-1099.452,-955.822,-343.006,-339.3,-310.888,-330.836
3352,-627.6725,-536.513,-513.7475,-517.251,-485.37,-481.726,-512.015,-554.078,-460.664,-490.332,-511.296,-475.831,-939.189,-1028.7425,-1036.019,-943.61,-977.366,-1041.415,-1100.278,-956.664,-343.146,-339.36,-310.988,-330.904
3353,-627.8325,-536.612,-513.77,-517.043,-485.544,-481.774,-512.094,-554.236,-460.685,-490.408,-511.444,-476.072,-939.386,-1028.91,-1035.943,-943.624,-976.764,-1041.094,-1100.936,-957.185,-343.244,-339.484,-311.044,-330.964
