global_draw,segment,chosen_strategy,cumulative_profit,bankroll
20208,1,parity_fixed_odd_t10_mg5,0.0,500.0
20209,1,parity_fixed_odd_t10_mg5,0.0,500.0
20210,1,parity_fixed_odd_t10_mg5,0.0,500.0
20211,1,parity_fixed_odd_t10_mg5,0.0,500.0
20212,1,parity_fixed_odd_t10_mg5,0.0,500.0
20213,1,parity_fixed_odd_t10_mg5,0.0,500.0
20214,1,parity_fixed_odd_t10_mg5,0.0,500.0
20215,1,parity_fixed_odd_t10_mg5,0.0,500.0
20216,1,parity_fixed_odd_t10_mg5,0.0,500.0
20217,1,parity_fixed_odd_t10_mg5,0.0,500.0
20218,1,parity_fixed_odd_t10_mg5,0.0,500.0
20219,1,parity_fixed_odd_t10_mg5,0.0,500.0
20220,1,parity_fixed_odd_t10_mg5,0.0,500.0
20221,1,parity_fixed_odd_t10_mg5,0.0,500.0
20222,1,parity_fixed_odd_t10_mg5,0.0,500.0
20223,1,parity_fixed_odd_t10_mg5,0.0,500.0
20224,1,parity_fixed_odd_t10_mg5,0.0,500.0
20225,1,parity_fixed_odd_t10_mg5,0.0,500.0
20226,1,parity_fixed_odd_t10_mg5,0.0,500.0
20227,1,parity_fixed_odd_t10_mg5,0.0,500.0
20228,1,parity_fixed_odd_t10_mg5,0.0,500.0
20229,1,parity_fixed_odd_t10_mg5,0.0,500.0
20230,1,parity_fixed_odd_t10_mg5,0.0,500.0
20231,1,parity_fixed_odd_t10_mg5,0.0,500.0
20232,1,parity_fixed_odd_t10_mg5,0.0,500.0
20233,1,parity_fixed_odd_t10_mg5,0.0,500.0
20234,1,parity_fixed_odd_t10_mg5,0.0,500.0
20235,1,parity_fixed_odd_t10_mg5,0.0,500.0
20236,1,parity_fixed_odd_t10_mg5,0.0,500.0
20237,1,parity_fixed_odd_t10_mg5,0.0,500.0
20238,1,parity_fixed_odd_t10_mg5,0.0,500.0
20239,1,parity_fixed_odd_t10_mg5,0.0,500.0
20240,1,parity_fixed_odd_t10_mg5,0.0,500.0
20241,1,parity_fixed_odd_t10_mg5,0.0,500.0
20242,1,parity_fixed_odd_t10_mg5,0.0,500.0
20243,1,parity_fixed_odd_t10_mg5,0.0,500.0
20244,1,parity_fixed_odd_t10_mg5,0.0,500.0
20245,1,parity_fixed_odd_t10_mg5,0.0,500.0
20246,1,parity_fixed_odd_t10_mg5,0.0,500.0
20247,1,parity_fixed_odd_t10_mg5,0.0,500.0
20248,1,parity_fixed_odd_t10_mg5,0.0,500.0
20249,1,parity_fixed_odd_t10_mg5,0.0,500.0
20250,1,parity_fixed_odd_t10_mg5,0.0,500.0
20251,1,parity_fixed_odd_t10_mg5,0.0,500.0
20252,1,parity_fixed_odd_t10_mg5,0.0,500.0
20253,1,parity_fixed_odd_t10_mg5,0.0,500.0
20254,1,parity_fixed_odd_t10_mg5,0.0,500.0
20255,1,parity_fixed_odd_t10_mg5,0.0,500.0
20256,1,parity_fixed_odd_t10_mg5,0.0,500.0
20257,1,parity_fixed_odd_t10_mg5,0.0,500.0
20258,1,parity_fixed_odd_t10_mg5,0.0,500.0
20259,1,parity_fixed_odd_t10_mg5,0.0,500.0
20260,1,parity_fixed_odd_t10_mg5,0.0,500.0
20261,1,parity_fixed_odd_t10_mg5,0.0,500.0
20262,1,parity_fixed_odd_t10_mg5,0.0,500.0
20263,1,parity_fixed_odd_t10_mg5,0.0,500.0
20264,1,parity_fixed_odd_t10_mg5,0.0,500.0
20265,1,parity_fixed_odd_t10_mg5,0.0,500.0
20266,1,parity_fixed_odd_t10_mg5,0.0,500.0
20267,1,parity_fixed_odd_t10_mg5,0.0,500.0
20268,1,parity_fixed_odd_t10_mg5,0.0,500.0
20269,1,parity_fixed_odd_t10_mg5,0.0,500.0
20270,1,parity_fixed_odd_t10_mg5,0.0,500.0
20271,1,parity_fixed_odd_t10_mg5,0.0,500.0
20272,1,parity_fixed_odd_t10_mg5,0.0,500.0
