draw,pick,cumulative_profit,roi
18500,2,-2982.5,-0.322432
18500,5,-1375.0,-0.148649
18500,7,-1535.0,-0.165946
18500,9,-4077.0,-0.440757
18600,2,-2987.0,-0.321183
18600,5,-1412.0,-0.151828
18600,7,-1566.5,-0.168441
18600,9,-4112.0,-0.442151
18700,2,-3009.0,-0.321818
18700,5,-1445.0,-0.154545
18700,7,-1584.5,-0.169465
18700,9,-4153.5,-0.444225
18800,2,-3023.0,-0.321596
18800,5,-1485.0,-0.157979
18800,7,-1605.0,-0.170745
18800,9,-4169.5,-0.443564
18900,2,-3037.5,-0.321429
18900,5,-1509.0,-0.159683
18900,7,-1626.0,-0.172063
18900,9,-4206.5,-0.445132
19000,2,-3046.0,-0.320632
19000,5,-1541.0,-0.162211
19000,7,-1649.5,-0.173632
19000,9,-4225.5,-0.444789
19100,2,-3059.0,-0.320314
19100,5,-1572.0,-0.164607
19100,7,-1678.0,-0.175707
19100,9,-4267.5,-0.446859
19200,2,-3072.5,-0.320052
19200,5,-1608.0,-0.1675
19200,7,-1706.5,-0.17776
19200,9,-4308.0,-0.44875
19300,2,-3097.0,-0.320933
19300,5,-1418.0,-0.146943
19300,7,-1727.0,-0.178964
19300,9,-4340.0,-0.449741
19400,2,-3115.5,-0.321186
19400,5,-1429.0,-0.14732
19400,7,-1752.5,-0.18067
19400,9,-4380.5,-0.451598
19500,2,-3132.0,-0.321231
19500,5,-1449.0,-0.148615
19500,7,-1790.5,-0.183641
19500,9,-4403.0,-0.45159
19600,2,-3155.5,-0.32199
19600,5,-1486.0,-0.151633
19600,7,-1815.0,-0.185204
19600,9,-4445.5,-0.453622
19700,2,-3175.0,-0.322335
19700,5,-1517.0,-0.15401
19700,7,-1833.0,-0.186091
19700,9,-4476.5,-0.454467
19800,2,-3194.0,-0.322626
19800,5,-1536.0,-0.155152
19800,7,-1866.0,-0.188485
19800,9,-4486.0,-0.453131
19900,2,-3222.5,-0.323869
19900,5,-1558.0,-0.156583
19900,7,-1895.0,-0.190452
19900,9,-4526.0,-0.454874
20000,2,-3238.0,-0.3238
20000,5,-1591.0,-0.1591
20000,7,-1920.0,-0.192
20000,9,-4564.5,-0.45645
20100,2,-3255.0,-0.323881
20100,5,-1629.0,-0.16209
20100,7,-1933.5,-0.192388
20100,9,-4598.5,-0.457562
20200,2,-3276.5,-0.324406
20200,5,-1422.0,-0.140792
20200,7,-1956.0,-0.193663
20200,9,-4533.5,-0.448861
20300,2,-3287.5,-0.323892
20300,5,-1228.0,-0.120985
20300,7,-1980.5,-0.195123
20300,9,-4565.5,-0.449803
20400,2,-3298.0,-0.323333
20400,5,-1262.0,-0.123725
20400,7,-2008.0,-0.196863
20400,9,-4588.0,-0.449804
20500,2,-3319.0,-0.323805
20500,5,-1304.0,-0.12722
20500,7,-2044.5,-0.199463
20500,9,-4606.0,-0.449366
20600,2,-3335.5,-0.323835
20600,5,-1313.0,-0.127476
20600,7,-2057.0,-0.199709
20600,9,-4627.5,-0.449272
20700,2,-3349.5,-0.323623
20700,5,-1343.0,-0.129758
20700,7,-2076.5,-0.200628
20700,9,-4655.0,-0.449758
20800,2,-3370.5,-0.324087
20800,5,-1376.0,-0.132308
20800,7,-2114.0,-0.203269
20800,9,-4690.0,-0.450962
20900,2,-3400.5,-0.325407
20900,5,-1400.0,-0.133971
20900,7,-2131.5,-0.203971
20900,9,-4717.0,-0.451388
21000,2,-3415.0,-0.325238
21000,5,-1434.0,-0.136571
21000,7,-2169.5,-0.206619
21000,9,-4754.0,-0.452762
21100,2,-3425.0,-0.324645
21100,5,-1461.0,-0.138483
21100,7,-2196.5,-0.208199
21100,9,-4774.5,-0.452559
21200,2,-3441.0,-0.324623
21200,5,-1501.0,-0.141604
21200,7,-2227.0,-0.210094
21200,9,-4800.0,-0.45283
21300,2,-3452.5,-0.324178
21300,5,-1535.0,-0.144131
21300,7,-2265.5,-0.212723
21300,9,-4823.0,-0.452864
21400,2,-3472.5,-0.324533
21400,5,-1566.0,-0.146355
21400,7,-2286.0,-0.213645
21400,9,-4855.0,-0.453738
21500,2,-3492.0,-0.324837
21500,5,-1562.0,-0.145302
21500,7,-2303.5,-0.214279
21500,9,-4868.5,-0.452884
