draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
8774,-1648.075,-1409.806,-1349.52,-1376.894,-1356.912,-1351.392,-1269.118,-1267.872,-1145.758,-1319.012,-1369.046,-1289.312,-2467.538,-2698.36,-2737.334,-2574.592,-2682.612,-2783.318,-2857.672,-2212.758,-896.264,-889.676,-815.12,-874.952
8775,-1648.25,-1409.958,-1349.565,-1377.034,-1356.448,-1348.608,-1269.294,-1266.296,-1138.142,-1318.384,-1368.946,-1289.344,-2467.834,-2698.595,-2737.75,-2574.628,-2680.328,-2782.194,-2848.196,-2165.642,-896.368,-889.776,-815.212,-875.052
8776,-1648.47,-1410.198,-1349.875,-1377.352,-1356.72,-1348.866,-1269.574,-1266.652,-1138.48,-1318.744,-1369.268,-1289.654,-2468.234,-2699.125,-2738.216,-2574.92,-2680.626,-2782.974,-2849.052,-2166.48,-896.456,-889.868,-815.352,-875.12
8777,-1648.665,-1410.358,-1349.98,-1377.632,-1356.968,-1349.176,-1269.858,-1266.956,-1138.702,-1318.908,-1369.434,-1289.896,-2468.474,-2699.34,-2738.58,-2575.188,-2681.436,-2783.758,-2849.856,-2167.202,-896.572,-889.936,-815.484,-875.364
8778,-1648.82,-1410.456,-1350.045,-1377.528,-1356.232,-1349.178,-1269.662,-1265.148,-1130.93,-1318.06,-1369.096,-1289.888,-2468.708,-2699.535,-2738.592,-2574.232,-2680.558,-2780.462,-2840.148,-2119.93,-896.624,-890.036,-815.68,-875.496
8779,-1649.05,-1410.646,-1350.23,-1377.644,-1356.504,-1349.474,-1269.882,-1265.468,-1131.248,-1318.392,-1369.436,-1290.268,-2469.058,-2699.89,-2738.92,-2574.644,-2681.354,-2781.182,-2840.968,-2120.748,-896.716,-890.148,-815.772,-875.58
8780,-1649.285,-1410.878,-1350.48,-1377.956,-1356.808,-1349.8,-1270.172,-1265.812,-1131.618,-1318.724,-1369.722,-1290.624,-2469.434,-2700.34,-2739.348,-2575.088,-2682.18,-2781.972,-2841.812,-2121.618,-896.792,-890.236,-815.944,-875.6
8781,-1649.46,-1411.052,-1350.685,-1378.046,-1357.02,-1349.936,-1270.406,-1266.084,-1131.834,-1318.784,-1369.882,-1290.834,-2469.736,-2700.755,-2739.458,-2575.2,-2681.896,-2782.706,-2842.584,-2122.334,-896.908,-890.292,-816.1,-875.668
8782,-1649.62,-1411.228,-1350.925,-1378.16,-1357.368,-1350.266,-1270.642,-1266.38,-1132.076,-1319.08,-1370.174,-1291.136,-2470.024,-2701.175,-2739.784,-2575.808,-2682.726,-2783.442,-2843.38,-2123.076,-897.012,-890.404,-816.168,-875.656
8783,-1649.84,-1411.392,-1351.1,-1378.086,-1357.64,-1350.504,-1270.922,-1266.636,-1132.278,-1319.212,-1370.336,-1291.262,-2470.336,-2701.5,-2739.89,-2576.1,-2683.004,-2784.222,-2844.136,-2123.778,-897.144,-890.448,-816.316,-875.756
